node;vid;type;rep;upstream;rate;count
node8;v0;src;1;;1;200
node1;v1;bf;1;v0;1;200
node1;v2;lpr;1;v1;1;200
node1;v3;eqh;1;v1;1;200
node1;v5;clahe;1;v1;1;200
node1;v4;lpr;1;v3;1;200
node1;v6;lpr;1;v5;1;200
node1;v7;eqh;1;v0;1;200
node1;v8;lpr;1;v7;1;200
node1;v9;clahe;1;v0;1;200
node1;v10;lpr;1;v9;1;200
node1;v12;seg;1;v8,v10;1;200
node1;v11;seg;1;v2,v4,v6;1;200
node1;v13;fib;1;v12;1;200
node1;v14;bf;1;v0;1;200
node1;v15;lpr;1;v14;1;200
node1;v16;eqh;1;v14;1;200
node1;v18;clahe;1;v14;1;200
node1;v17;lpr;1;v16;1;200
node1;v19;lpr;1;v18;1;200
node2;v20;eqh;1;v0;1;200
node2;v21;lpr;1;v20;1;200
node2;v22;clahe;1;v0;1;200
node2;v23;lpr;1;v22;1;200
node2;v25;seg;1;v21,v23;1;200
node1;v24;seg;1;v15,v17,v19;1;200
node2;v26;fib;1;v25;1;200
node2;v27;bf;1;v0;1;200
node2;v28;lpr;1;v27;1;200
node2;v29;eqh;1;v27;1;200
node2;v31;clahe;1;v27;1;200
node2;v30;lpr;1;v29;1;200
node2;v32;lpr;1;v31;1;200
node2;v33;eqh;1;v0;1;200
node2;v34;lpr;1;v33;1;200
node2;v35;clahe;1;v0;1;200
node2;v36;lpr;1;v35;1;200
node2;v38;seg;1;v34,v36;1;200
node2;v37;seg;1;v28,v30,v32;1;200
node2;v39;fib;1;v38;1;200
node8;v40;snk;1;v11,v13,v24,v26,v37,v39;1;200
